"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-03-01 00:00","2017","03","01","00:00","5.0","","1.8","","80","","19","","13","","","","99.65","","","","","","NA"
"2017-03-01 01:00","2017","03","01","01:00","5.3","","2.1","","80","","18","","9","","","","99.54","","","","","","NA"
"2017-03-01 02:00","2017","03","01","02:00","5.2","","2.4","","82","","18","","10","","","","99.40","","","","","","NA"
"2017-03-01 03:00","2017","03","01","03:00","5.2","","3.1","","86","","19","","14","","","","99.30","","","","","","NA"
"2017-03-01 04:00","2017","03","01","04:00","6.7","","4.2","","84","","15","","23","","","","99.07","","","","","","NA"
"2017-03-01 05:00","2017","03","01","05:00","5.6","","4.6","","93","","15","","23","","","","98.87","","","","","","NA"
"2017-03-01 06:00","2017","03","01","06:00","6.4","","5.5","","94","","15","","29","","","","98.65","","","","","","NA"
"2017-03-01 07:00","2017","03","01","07:00","6.4","","5.4","","93","","16","","31","","","","98.51","","","","","","NA"
"2017-03-01 08:00","2017","03","01","08:00","7.9","","6.5","","91","","23","","23","","","","98.56","","","","","","NA"
"2017-03-01 09:00","2017","03","01","09:00","7.8","","6.0","","89","","19","","26","","","","98.41","","","","","","NA"
"2017-03-01 10:00","2017","03","01","10:00","5.9","","4.8","","93","","16","","32","","","","98.09","","","","","","NA"
"2017-03-01 11:00","2017","03","01","11:00","7.0","","5.7","","92","","18","","22","","","","98.09","","","","","","NA"
"2017-03-01 12:00","2017","03","01","12:00","12.5","","10.0","","85","","25","","13","","","","98.13","","","","","","NA"
"2017-03-01 13:00","2017","03","01","13:00","11.4","","8.3","","81","","23","","28","","","","98.11","","","","","","NA"
"2017-03-01 14:00","2017","03","01","14:00","10.1","","7.0","","81","","24","","25","","","","98.04","","","","","","NA"
"2017-03-01 15:00","2017","03","01","15:00","11.5","","7.5","","76","","24","","28","","","","98.03","","","","","","NA"
"2017-03-01 16:00","2017","03","01","16:00","11.1","","7.5","","79","","24","","28","","","","97.96","","","","","","NA"
"2017-03-01 17:00","2017","03","01","17:00","10.4","","7.1","","80","","24","","21","","","","97.95","","","","","","NA"
"2017-03-01 18:00","2017","03","01","18:00","10.4","","8.1","","86","","23","","25","","","","97.89","","","","","","NA"
"2017-03-01 19:00","2017","03","01","19:00","6.0","","4.7","","91","","20","","18","","","","97.85","","","","","","NA"
"2017-03-01 20:00","2017","03","01","20:00","9.6","","6.7","","82","","22","","21","","","","97.76","","","","","","NA"
"2017-03-01 21:00","2017","03","01","21:00","8.9","","5.1","","77","","24","","37","","","","97.80","","","","","","NA"
"2017-03-01 22:00","2017","03","01","22:00","7.8","","4.6","","80","","23","","46","","","","97.85","","","","","","NA"
