"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-01-01 00:00","2018","01","01","00:00","-25.7","","-28.3","","79","","35","","13","","","","101.83","","","","-35","","NA"
"2018-01-01 01:00","2018","01","01","01:00","-25.4","","-28.3","","77","","33","","8","","","","101.85","","","","-33","","NA"
"2018-01-01 02:00","2018","01","01","02:00","-26.0","","-28.3","","81","","29","","2","","","","101.89","","","","-28","","NA"
"2018-01-01 03:00","2018","01","01","03:00","-27.4","","-30.0","","79","","28","","3","","","","101.91","","","","-31","","NA"
"2018-01-01 04:00","2018","01","01","04:00","-29.7","","-32.6","","76","","29","","7","","","","101.88","","","","-37","","NA"
"2018-01-01 05:00","2018","01","01","05:00","-28.2","","-30.3","","82","","29","","6","","","","101.85","","","","-34","","NA"
"2018-01-01 06:00","2018","01","01","06:00","-30.0","","-33.0","","75","","35","","3","","","","101.82","","","","-33","","NA"
"2018-01-01 07:00","2018","01","01","07:00","-31.3","","-34.2","","76","","32","","9","","","","101.88","","","","-40","","NA"
"2018-01-01 08:00","2018","01","01","08:00","-29.6","","-32.7","","75","","33","","10","","","","101.86","","","","-39","","NA"
"2018-01-01 09:00","2018","01","01","09:00","-27.1","","-30.2","","74","","33","","13","","","","101.87","","","","-37","","NA"
"2018-01-01 10:00","2018","01","01","10:00","-23.7","","-27.3","","72","","36","","5","","","","101.83","","","","-28","","NA"
"2018-01-01 11:00","2018","01","01","11:00","-20.4","","-25.3","","65","","6","","9","","","","101.75","","","","-27","","NA"
"2018-01-01 12:00","2018","01","01","12:00","-18.4","","-22.2","","73","","9","","12","","","","101.62","","","","-26","","NA"
"2018-01-01 13:00","2018","01","01","13:00","-18.1","","-21.8","","73","","8","","16","","","","101.52","","","","-27","","NA"
"2018-01-01 14:00","2018","01","01","14:00","-17.0","","-20.6","","74","","6","","13","","","","101.41","","","","-25","","NA"
"2018-01-01 15:00","2018","01","01","15:00","-16.2","","-19.8","","74","","7","","12","","","","101.36","","","","-23","","NA"
"2018-01-01 16:00","2018","01","01","16:00","-16.6","","-19.7","","77","","6","","14","","","","101.33","","","","-25","","NA"
"2018-01-01 17:00","2018","01","01","17:00","-16.8","","-19.7","","78","","3","","9","","","","101.33","","","","-23","","NA"
"2018-01-01 18:00","2018","01","01","18:00","-17.3","","-20.2","","79","","2","","9","","","","101.30","","","","-24","","NA"
"2018-01-01 19:00","2018","01","01","19:00","-18.4","","-21.0","","79","","34","","11","","","","101.32","","","","-26","","NA"
"2018-01-01 20:00","2018","01","01","20:00","-19.4","","-21.9","","81","","33","","9","","","","101.37","","","","-26","","NA"
"2018-01-01 21:00","2018","01","01","21:00","-20.4","","-22.7","","82","","32","","9","","","","101.44","","","","-27","","NA"
"2018-01-01 22:00","2018","01","01","22:00","-21.5","","-23.9","","81","","32","","9","","","","101.55","","","","-29","","NA"
"2018-01-01 23:00","2018","01","01","23:00","-20.1","","-22.7","","79","","30","","11","","","","101.61","","","","-28","","NA"
"2018-01-02 00:00","2018","01","02","00:00","-21.5","","-24.0","","80","","31","","9","","","","101.65","","","","-29","","NA"
"2018-01-02 01:00","2018","01","02","01:00","-23.2","","-25.7","","80","","34","","6","","","","101.64","","","","-29","","NA"
"2018-01-02 02:00","2018","01","02","02:00","-23.4","","-25.8","","81","","32","","7","","","","101.64","","","","-30","","NA"
"2018-01-02 03:00","2018","01","02","03:00","-22.3","","-25.2","","77","","26","","10","","","","101.72","","","","-30","","NA"
"2018-01-02 04:00","2018","01","02","04:00","-24.2","","-27.0","","78","","30","","5","","","","101.67","","","","-29","","NA"
"2018-01-02 05:00","2018","01","02","05:00","-23.9","","-26.5","","79","","26","","11","","","","101.66","","","","-32","","NA"
"2018-01-02 06:00","2018","01","02","06:00","-24.0","","-27.0","","76","","34","","6","","","","101.56","","","","-30","","NA"
"2018-01-02 07:00","2018","01","02","07:00","-24.1","","-26.8","","78","","5","","4","","","","101.50","","","","-28","","NA"
"2018-01-02 08:00","2018","01","02","08:00","-24.3","","-27.2","","77","","2","","4","","","","101.45","","","","-28","","NA"
"2018-01-02 09:00","2018","01","02","09:00","-20.3","","-22.4","","83","","4","","5","","","","101.32","","","","-25","","NA"
"2018-01-02 10:00","2018","01","02","10:00","-18.2","","-20.5","","82","","36","","5","","","","101.21","","","","-22","","NA"
"2018-01-02 11:00","2018","01","02","11:00","-9.7","","-11.3","","89","","22","","12","","","","101.09","","","","-16","","NA"
"2018-01-02 12:00","2018","01","02","12:00","-8.2","","-10.1","","86","","24","","23","","","","100.92","","","","-16","","NA"
"2018-01-02 13:00","2018","01","02","13:00","-7.2","","-9.9","","81","","24","","28","","","","100.77","","","","-16","","NA"
"2018-01-02 14:00","2018","01","02","14:00","-6.6","","-10.0","","76","","24","","31","","","","100.70","","","","-15","","NA"
"2018-01-02 15:00","2018","01","02","15:00","-6.2","","-10.1","","74","","24","","36","","","","100.71","","","","-15","","NA"
"2018-01-02 16:00","2018","01","02","16:00","-5.8","","-10.0","","72","","24","","36","","","","100.74","","","","-15","","NA"
"2018-01-02 17:00","2018","01","02","17:00","-5.6","","-10.5","","68","","24","","36","","","","100.76","","","","-14","","NA"
"2018-01-02 18:00","2018","01","02","18:00","-5.6","","-10.2","","70","","24","","38","","","","100.80","","","","-15","","NA"
"2018-01-02 19:00","2018","01","02","19:00","-5.5","","-11.3","","64","","24","","31","","","","100.83","","","","-14","","NA"
"2018-01-02 20:00","2018","01","02","20:00","-5.6","","-11.0","","66","","24","","31","","","","100.81","","","","-14","","NA"
"2018-01-02 21:00","2018","01","02","21:00","-5.9","","-10.0","","73","","24","","36","","","","100.81","","","","-15","","NA"
"2018-01-02 22:00","2018","01","02","22:00","-5.9","","-11.1","","67","","25","","28","","","","100.79","","","","-14","","NA"
"2018-01-02 23:00","2018","01","02","23:00","-6.1","","-11.0","","68","","25","","23","","","","100.82","","","","-13","","NA"
"2018-01-03 00:00","2018","01","03","00:00","-5.9","","-10.8","","68","","25","","19","","","","100.82","","","","-13","","NA"
"2018-01-03 01:00","2018","01","03","01:00","-5.9","","-10.5","","70","","25","","20","","","","100.80","","","","-13","","NA"
"2018-01-03 02:00","2018","01","03","02:00","-6.9","","-9.2","","84","","25","","15","","","","100.79","","","","-13","","NA"
