"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2015-04-01 00:00","2015","04","01","00:00","-4.6","","-7.5","","80","","33","","8","","","","100.29","","","","-8","","NA"
"2015-04-01 01:00","2015","04","01","01:00","-5.7","","-7.8","","85","","34","","12","","","","100.32","","","","-11","","NA"
"2015-04-01 02:00","2015","04","01","02:00","-5.3","","-9.7","","71","","35","","14","","","","100.35","","","","-11","","NA"
"2015-04-01 03:00","2015","04","01","03:00","-5.5","","-12.0","","60","","35","","11","","","","100.40","","","","-10","","NA"
"2015-04-01 04:00","2015","04","01","04:00","-5.7","","-11.9","","62","","35","","14","","","","100.46","","","","-11","","NA"
"2015-04-01 05:00","2015","04","01","05:00","-6.7","","-12.9","","61","","34","","12","","","","100.59","","","","-12","","NA"
"2015-04-01 06:00","2015","04","01","06:00","-6.2","","-12.9","","59","","33","","12","","","","100.73","","","","-11","","NA"
"2015-04-01 07:00","2015","04","01","07:00","-4.6","","-11.7","","57","","34","","10","","","","100.81","","","","-9","","NA"
"2015-04-01 08:00","2015","04","01","08:00","-2.6","","-12.5","","46","","34","","14","","","","100.86","","","","-7","","NA"
"2015-04-01 09:00","2015","04","01","09:00","-1.0","","-13.9","","37","","34","","16","","","","100.97","","","","-6","","NA"
"2015-04-01 10:00","2015","04","01","10:00","-0.5","","-13.7","","36","","35","","13","","","","101.03","","","","-5","","NA"
"2015-04-01 11:00","2015","04","01","11:00","0.5","","-14.4","","32","","35","","11","","","","101.04","","","","","","NA"
"2015-04-01 12:00","2015","04","01","12:00","1.4","","-13.5","","32","","32","","14","","","","101.04","","","","","","NA"
