"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-01-01 00:00","2019","01","01","00:00","4.0","","3.2","","95","","13","","14","","","","98.54","","","","","","NA"
"2019-01-01 01:00","2019","01","01","01:00","4.3","","3.5","","95","","17","","25","","","","98.40","","","","","","NA"
"2019-01-01 02:00","2019","01","01","02:00","6.0","","4.9","","93","","18","","26","","","","98.14","","","","","","NA"
"2019-01-01 03:00","2019","01","01","03:00","7.1","","6.2","","94","","20","","42","","","","98.09","","","","","","NA"
"2019-01-01 04:00","2019","01","01","04:00","8.4","","7.4","","93","","25","","32","","","","98.16","","","","","","NA"
"2019-01-01 05:00","2019","01","01","05:00","1.7","","0.9","","94","","33","","29","","","","98.54","","","","","","NA"
"2019-01-01 06:00","2019","01","01","06:00","1.3","","-0.1","","90","","31","","27","","","","98.97","","","","","","NA"
"2019-01-01 07:00","2019","01","01","07:00","1.1","","-0.8","","87","","30","","23","","","","99.45","","","","","","NA"
"2019-01-01 08:00","2019","01","01","08:00","1.3","","-0.9","","85","","31","","20","","","","99.72","","","","","","NA"
"2019-01-01 09:00","2019","01","01","09:00","1.0","","-1.5","","83","","31","","18","","","","100.00","","","","","","NA"
"2019-01-01 10:00","2019","01","01","10:00","1.0","","-2.6","","77","","31","","18","","","","100.25","","","","","","NA"
"2019-01-01 11:00","2019","01","01","11:00","0.9","","-2.8","","76","","30","","23","","","","100.41","","","","","","NA"
