"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-03-01 00:00","2016","03","01","00:00","-8.6","","-16.9","","51","","31","","23","","","","100.79","","","","-17","","NA"
"2016-03-01 01:00","2016","03","01","01:00","-9.5","","-17.3","","53","","31","","18","","","","100.95","","","","-17","","NA"
"2016-03-01 02:00","2016","03","01","02:00","-10.3","","-17.5","","56","","31","","13","","","","101.03","","","","-17","","NA"
"2016-03-01 03:00","2016","03","01","03:00","-10.9","","-17.6","","58","","33","","13","","","","101.05","","","","-17","","NA"
"2016-03-01 04:00","2016","03","01","04:00","-11.6","","-17.4","","62","","31","","6","","","","101.10","","","","-15","","NA"
"2016-03-01 05:00","2016","03","01","05:00","-12.2","","-16.6","","70","","33","","7","","","","101.17","","","","-17","","NA"
"2016-03-01 06:00","2016","03","01","06:00","-12.5","","-17.0","","69","","34","","11","","","","101.18","","","","-19","","NA"
"2016-03-01 07:00","2016","03","01","07:00","-13.0","","-17.8","","68","","36","","9","","","","101.20","","","","-18","","NA"
"2016-03-01 08:00","2016","03","01","08:00","-12.4","","-18.4","","61","","6","","14","","","","101.28","","","","-19","","NA"
"2016-03-01 09:00","2016","03","01","09:00","-11.8","","-17.7","","62","","7","","15","","","","101.25","","","","-19","","NA"
"2016-03-01 10:00","2016","03","01","10:00","-10.9","","-16.9","","61","","8","","12","","","","101.28","","","","-17","","NA"
"2016-03-01 11:00","2016","03","01","11:00","-10.2","","-16.7","","59","","7","","11","","","","101.18","","","","-16","","NA"
"2016-03-01 12:00","2016","03","01","12:00","-9.8","","-17.0","","56","","3","","5","","","","101.13","","","","-13","","NA"
"2016-03-01 13:00","2016","03","01","13:00","-9.5","","-16.2","","58","","3","","15","","","","100.95","","","","-16","","NA"
"2016-03-01 14:00","2016","03","01","14:00","-10.0","","-14.8","","68","","5","","22","","","","100.75","","","","-18","","NA"
"2016-03-01 15:00","2016","03","01","15:00","-10.1","","-14.0","","73","","4","","23","","","","100.67","","","","-19","","NA"
"2016-03-01 16:00","2016","03","01","16:00","-9.4","","-14.0","","69","","5","","24","","","","100.44","","","","-18","","NA"
"2016-03-01 17:00","2016","03","01","17:00","-8.8","","-14.6","","63","","3","","23","","","","100.26","","","","-17","","NA"
"2016-03-01 18:00","2016","03","01","18:00","-9.0","","-16.2","","56","","3","","25","","","","100.07","","","","-17","","NA"
"2016-03-01 19:00","2016","03","01","19:00","-9.4","","-15.7","","60","","3","","30","","","","99.85","","","","-19","","NA"
"2016-03-01 20:00","2016","03","01","20:00","-10.3","","-14.4","","72","","4","","34","","","","99.68","","","","-20","","NA"
"2016-03-01 21:00","2016","03","01","21:00","-10.3","","-14.0","","74","","4","","38","","","","99.45","","","","-21","","NA"
"2016-03-01 22:00","2016","03","01","22:00","-10.2","","-13.3","","78","","4","","38","","","","99.18","","","","-21","","NA"
"2016-03-01 23:00","2016","03","01","23:00","-10.2","","-13.4","","77","","4","","41","","","","98.88","","","","-21","","NA"
"2016-03-02 00:00","2016","03","02","00:00","-9.9","","-13.1","","78","","4","","37","","","","98.63","","","","-20","","NA"
"2016-03-02 01:00","2016","03","02","01:00","-9.2","","-12.1","","80","","3","","31","","","","98.39","","","","-19","","NA"
"2016-03-02 02:00","2016","03","02","02:00","-8.6","","-11.0","","83","","2","","25","","","","98.34","","","","-17","","NA"
"2016-03-02 03:00","2016","03","02","03:00","-8.7","","-10.5","","87","","35","","20","","","","98.44","","","","-16","","NA"
"2016-03-02 04:00","2016","03","02","04:00","-9.3","","-11.6","","83","","31","","21","","","","98.69","","","","-17","","NA"
"2016-03-02 05:00","2016","03","02","05:00","-9.2","","-12.0","","80","","28","","13","","","","98.92","","","","-15","","NA"
"2016-03-02 06:00","2016","03","02","06:00","-10.1","","-13.2","","77","","28","","15","","","","99.15","","","","-17","","NA"
