"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-07-01 00:00","2016","07","01","00:00","13.6","","11.6","","88","","","","0","","","","100.34","","","","","","NA"
"2016-07-01 01:00","2016","07","01","01:00","12.2","","10.7","","91","","","","0","","","","100.30","","","","","","NA"
"2016-07-01 02:00","2016","07","01","02:00","11.3","","9.8","","91","","35","","6","","","","100.30","","","","","","NA"
"2016-07-01 03:00","2016","07","01","03:00","11.6","","10.1","","91","","1","","3","","","","100.27","","","","","","NA"
"2016-07-01 04:00","2016","07","01","04:00","11.2","","9.7","","90","","6","","6","","","","100.23","","","","","","NA"
"2016-07-01 05:00","2016","07","01","05:00","12.0","","10.2","","88","","8","","2","","","","100.23","","","","","","NA"
"2016-07-01 06:00","2016","07","01","06:00","18.4","","15.3","","82","","14","","10","","","","100.22","","","","","","NA"
"2016-07-01 07:00","2016","07","01","07:00","19.5","","15.7","","79","","14","","13","","","","100.18","","","","","","NA"
"2016-07-01 08:00","2016","07","01","08:00","19.9","","15.0","","73","","16","","10","","","","100.12","","","","","","NA"
"2016-07-01 09:00","2016","07","01","09:00","20.9","","14.7","","68","","18","","13","","","","100.08","","25","","","","NA"
"2016-07-01 10:00","2016","07","01","10:00","21.4","","15.5","","69","","17","","11","","","","100.03","","26","","","","NA"
"2016-07-01 11:00","2016","07","01","11:00","20.7","","15.4","","72","","16","","9","","","","99.98","","25","","","","NA"
"2016-07-01 12:00","2016","07","01","12:00","20.8","","16.5","","76","","19","","10","","","","99.92","","26","","","","NA"
"2016-07-01 13:00","2016","07","01","13:00","20.4","","16.2","","77","","24","","16","","","","99.89","","25","","","","NA"
"2016-07-01 14:00","2016","07","01","14:00","20.8","","14.2","","66","","25","","16","","","","99.84","","","","","","NA"
"2016-07-01 15:00","2016","07","01","15:00","21.8","","13.9","","61","","22","","14","","","","99.80","","25","","","","NA"
"2016-07-01 16:00","2016","07","01","16:00","21.7","","15.0","","65","","18","","17","","","","99.71","","26","","","","NA"
"2016-07-01 17:00","2016","07","01","17:00","20.5","","15.3","","72","","18","","22","","","","99.70","","25","","","","NA"
"2016-07-01 18:00","2016","07","01","18:00","21.2","","16.2","","73","","20","","21","","","","99.70","","26","","","","NA"
"2016-07-01 19:00","2016","07","01","19:00","20.4","","12.4","","60","","25","","29","","","","99.70","","","","","","NA"
"2016-07-01 20:00","2016","07","01","20:00","17.7","","11.9","","69","","27","","25","","","","99.76","","","","","","NA"
"2016-07-01 21:00","2016","07","01","21:00","16.8","","11.8","","72","","27","","25","","","","99.82","","","","","","NA"
"2016-07-01 22:00","2016","07","01","22:00","16.1","","11.8","","75","","26","","22","","","","99.90","","","","","","NA"
"2016-07-01 23:00","2016","07","01","23:00","15.5","","11.7","","78","","26","","19","","","","100.00","","","","","","NA"
"2016-07-02 00:00","2016","07","02","00:00","15.0","","11.8","","81","","26","","16","","","","100.06","","","","","","NA"
"2016-07-02 01:00","2016","07","02","01:00","14.8","","11.6","","82","","26","","17","","","","100.07","","","","","","NA"
"2016-07-02 02:00","2016","07","02","02:00","13.9","","10.9","","82","","28","","17","","","","100.10","","","","","","NA"
"2016-07-02 03:00","2016","07","02","03:00","13.2","","10.3","","82","","27","","18","","","","100.15","","","","","","NA"
"2016-07-02 04:00","2016","07","02","04:00","13.1","","10.3","","84","","26","","19","","","","100.19","","","","","","NA"
"2016-07-02 05:00","2016","07","02","05:00","13.4","","10.6","","83","","26","","19","","","","100.26","","","","","","NA"
"2016-07-02 06:00","2016","07","02","06:00","14.5","","10.5","","77","","26","","20","","","","100.35","","","","","","NA"
"2016-07-02 07:00","2016","07","02","07:00","15.5","","9.9","","69","","29","","20","","","","100.41","","","","","","NA"
"2016-07-02 08:00","2016","07","02","08:00","16.6","","8.5","","59","","29","","23","","","","100.46","","","","","","NA"
"2016-07-02 09:00","2016","07","02","09:00","17.9","","7.2","","49","","32","","29","","","","100.47","","","","","","NA"
