"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-09-01 00:00","2017","09","01","00:00","7.5","","4.8","","83","","32","","12","","","","100.98","","","","","","NA"
"2017-09-01 01:00","2017","09","01","01:00","6.7","","4.7","","87","","32","","11","","","","100.99","","","","","","NA"
"2017-09-01 02:00","2017","09","01","02:00","6.1","","4.6","","90","","32","","10","","","","101.01","","","","","","NA"
"2017-09-01 03:00","2017","09","01","03:00","6.3","","4.6","","89","","32","","11","","","","101.02","","","","","","NA"
"2017-09-01 04:00","2017","09","01","04:00","6.6","","4.7","","88","","31","","17","","","","101.06","","","","","","NA"
"2017-09-01 05:00","2017","09","01","05:00","5.8","","4.5","","92","","33","","15","","","","101.06","","","","","","NA"
"2017-09-01 06:00","2017","09","01","06:00","6.5","","4.9","","90","","33","","15","","","","101.14","","","","","","NA"
"2017-09-01 07:00","2017","09","01","07:00","8.6","","5.8","","83","","33","","21","","","","101.17","","","","","","NA"
"2017-09-01 08:00","2017","09","01","08:00","10.1","","6.0","","76","","34","","21","","","","101.21","","","","","","NA"
"2017-09-01 09:00","2017","09","01","09:00","12.2","","5.4","","63","","34","","23","","","","101.20","","","","","","NA"
"2017-09-01 10:00","2017","09","01","10:00","13.5","","4.9","","56","","36","","20","","","","101.20","","","","","","NA"
"2017-09-01 11:00","2017","09","01","11:00","14.2","","4.8","","53","","34","","18","","","","101.17","","","","","","NA"
"2017-09-01 12:00","2017","09","01","12:00","15.4","","4.5","","48","","36","","17","","","","101.11","","","","","","NA"
"2017-09-01 13:00","2017","09","01","13:00","16.5","","5.5","","48","","32","","11","","","","101.09","","","","","","NA"
"2017-09-01 14:00","2017","09","01","14:00","17.0","","3.6","","41","","28","","10","","","","101.05","","","","","","NA"
"2017-09-01 15:00","2017","09","01","15:00","17.6","","2.8","","37","","30","","14","","","","101.04","","","","","","NA"
"2017-09-01 16:00","2017","09","01","16:00","17.7","","2.5","","36","","33","","14","","","","101.03","","","","","","NA"
"2017-09-01 17:00","2017","09","01","17:00","17.6","","2.6","","37","","32","","11","","","","101.01","","","","","","NA"
"2017-09-01 18:00","2017","09","01","18:00","16.4","","5.6","","49","","32","","5","","","","101.00","","","","","","NA"
"2017-09-01 19:00","2017","09","01","19:00","14.0","","4.4","","52","","36","","6","","","","101.03","","","","","","NA"
"2017-09-01 20:00","2017","09","01","20:00","12.0","","4.5","","60","","3","","7","","","","101.06","","","","","","NA"
"2017-09-01 21:00","2017","09","01","21:00","11.6","","5.1","","65","","3","","7","","","","101.12","","","","","","NA"
"2017-09-01 22:00","2017","09","01","22:00","8.3","","5.9","","85","","2","","8","","","","101.16","","","","","","NA"
"2017-09-01 23:00","2017","09","01","23:00","7.1","","5.7","","91","","3","","6","","","","101.16","","","","","","NA"
"2017-09-02 00:00","2017","09","02","00:00","6.3","","5.3","","93","","35","","8","","","","101.20","","","","","","NA"
"2017-09-02 01:00","2017","09","02","01:00","5.9","","4.9","","93","","36","","5","","","","101.22","","","","","","NA"
"2017-09-02 02:00","2017","09","02","02:00","5.1","","4.2","","94","","34","","8","","","","101.23","","","","","","NA"
"2017-09-02 03:00","2017","09","02","03:00","4.8","","4.0","","95","","35","","9","","","","101.22","","","","","","NA"
"2017-09-02 04:00","2017","09","02","04:00","4.6","","3.8","","95","","35","","9","","","","101.20","","","","","","NA"
"2017-09-02 05:00","2017","09","02","05:00","4.6","","3.9","","95","","3","","7","","","","101.19","","","","","","NA"
"2017-09-02 06:00","2017","09","02","06:00","5.3","","4.5","","95","","3","","7","","","","101.19","","","","","","NA"
"2017-09-02 07:00","2017","09","02","07:00","10.9","","8.8","","87","","5","","9","","","","101.20","","","","","","NA"
"2017-09-02 08:00","2017","09","02","08:00","14.2","","11.0","","81","","7","","10","","","","101.23","","","","","","NA"
"2017-09-02 09:00","2017","09","02","09:00","15.9","","7.1","","56","","12","","12","","","","101.23","","","","","","NA"
"2017-09-02 10:00","2017","09","02","10:00","16.5","","8.1","","58","","13","","10","","","","101.24","","","","","","NA"
"2017-09-02 11:00","2017","09","02","11:00","16.6","","6.0","","50","","16","","11","","","","101.17","","","","","","NA"
"2017-09-02 12:00","2017","09","02","12:00","17.4","","7.4","","52","","16","","13","","","","101.10","","","","","","NA"
"2017-09-02 13:00","2017","09","02","13:00","17.9","","9.6","","58","","17","","11","","","","101.04","","","","","","NA"
"2017-09-02 14:00","2017","09","02","14:00","17.8","","8.2","","53","","16","","11","","","","100.94","","","","","","NA"
"2017-09-02 15:00","2017","09","02","15:00","19.5","","7.0","","44","","8","","12","","","","100.86","","","","","","NA"
"2017-09-02 16:00","2017","09","02","16:00","20.0","","6.5","","41","","8","","12","","","","100.81","","","","","","NA"
"2017-09-02 17:00","2017","09","02","17:00","18.7","","8.0","","50","","7","","11","","","","100.75","","","","","","NA"
