"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2019-08-01 00:00","2019","08","01","00:00","20.0","","11.7","","59","","1","","12","","","","100.73","","","","","","NA"
"2019-08-01 01:00","2019","08","01","01:00","18.8","","11.2","","61","","1","","11","","","","100.77","","","","","","NA"
"2019-08-01 02:00","2019","08","01","02:00","18.4","","11.1","","62","","1","","11","","","","100.82","","","","","","NA"
"2019-08-01 03:00","2019","08","01","03:00","17.3","","11.2","","67","","1","","11","","","","100.86","","","","","","NA"
"2019-08-01 04:00","2019","08","01","04:00","14.7","","12.6","","87","","36","","10","","","","100.88","","","","","","NA"
"2019-08-01 05:00","2019","08","01","05:00","14.3","","12.8","","91","","34","","11","","","","100.92","","","","","","NA"
"2019-08-01 06:00","2019","08","01","06:00","15.8","","13.0","","83","","35","","11","","","","100.95","","","","","","NA"
"2019-08-01 07:00","2019","08","01","07:00","19.3","","11.8","","62","","36","","10","","","","100.99","","","","","","NA"
"2019-08-01 08:00","2019","08","01","08:00","21.7","","10.7","","50","","2","","10","","","","101.03","","","","","","NA"
"2019-08-01 09:00","2019","08","01","09:00","23.7","","9.3","","40","","5","","15","","","","101.03","","25","","","","NA"
"2019-08-01 10:00","2019","08","01","10:00","24.7","","8.7","","36","","6","","12","","","","101.06","","25","","","","NA"
"2019-08-01 11:00","2019","08","01","11:00","25.4","","7.5","","32","","4","","9","","","","101.05","","26","","","","NA"
"2019-08-01 12:00","2019","08","01","12:00","24.9","","9.5","","38","","18","","11","","","","101.05","","26","","","","NA"
"2019-08-01 13:00","2019","08","01","13:00","25.7","","9.5","","36","","15","","14","","","","101.03","","27","","","","NA"
"2019-08-01 14:00","2019","08","01","14:00","24.9","","10.0","","39","","19","","21","","","","101.00","","26","","","","NA"
"2019-08-01 15:00","2019","08","01","15:00","25.0","","11.0","","41","","19","","17","","","","100.96","","27","","","","NA"
"2019-08-01 16:00","2019","08","01","16:00","25.2","","11.2","","42","","19","","13","","","","100.91","","27","","","","NA"
"2019-08-01 17:00","2019","08","01","17:00","25.1","","11.4","","42","","20","","13","","","","100.88","","27","","","","NA"
"2019-08-01 18:00","2019","08","01","18:00","24.3","","12.3","","47","","22","","10","","","","100.87","","27","","","","NA"
"2019-08-01 19:00","2019","08","01","19:00","22.8","","12.6","","52","","23","","7","","","","100.88","","25","","","","NA"
"2019-08-01 20:00","2019","08","01","20:00","21.8","","12.6","","56","","23","","7","","","","100.89","","","","","","NA"
"2019-08-01 21:00","2019","08","01","21:00","21.0","","14.7","","67","","25","","7","","","","100.92","","25","","","","NA"
"2019-08-01 22:00","2019","08","01","22:00","17.5","","14.5","","82","","26","","4","","","","100.94","","","","","","NA"
"2019-08-01 23:00","2019","08","01","23:00","17.0","","15.3","","89","","32","","6","","","","100.96","","","","","","NA"
"2019-08-02 00:00","2019","08","02","00:00","14.4","","14.4","","100","","33","","8","","","","100.96","","","","","","NA"
"2019-08-02 01:00","2019","08","02","01:00","13.6","","13.4","","99","","33","","8","","","","100.95","","","","","","NA"
"2019-08-02 02:00","2019","08","02","02:00","14.3","","14.2","","99","","33","","5","","","","100.95","","","","","","NA"
"2019-08-02 03:00","2019","08","02","03:00","13.7","","13.7","","100","","33","","7","","","","100.95","","","","","","NA"
"2019-08-02 04:00","2019","08","02","04:00","13.2","","13.2","","100","","7","","5","","","","100.96","","","","","","NA"
"2019-08-02 05:00","2019","08","02","05:00","12.3","","12.3","","100","","35","","5","","","","100.99","","","","","","NA"
"2019-08-02 06:00","2019","08","02","06:00","13.9","","13.9","","100","","34","","7","","","","101.00","","","","","","NA"
"2019-08-02 07:00","2019","08","02","07:00","18.8","","17.1","","90","","33","","4","","","","101.00","","","","","","NA"
"2019-08-02 08:00","2019","08","02","08:00","21.9","","14.5","","63","","27","","4","","","","101.01","","26","","","","NA"
"2019-08-02 09:00","2019","08","02","09:00","23.4","","14.7","","58","","22","","8","","","","101.02","","27","","","","NA"
"2019-08-02 10:00","2019","08","02","10:00","23.8","","14.9","","58","","18","","10","","","","101.02","","28","","","","NA"
"2019-08-02 11:00","2019","08","02","11:00","24.6","","15.7","","57","","17","","13","","","","100.96","","29","","","","NA"
"2019-08-02 12:00","2019","08","02","12:00","24.6","","16.4","","60","","17","","19","","","","100.92","","29","","","","NA"
"2019-08-02 13:00","2019","08","02","13:00","24.8","","16.2","","59","","17","","19","","","","100.87","","30","","","","NA"
"2019-08-02 14:00","2019","08","02","14:00","25.5","","16.6","","58","","19","","18","","","","100.83","","31","","","","NA"
"2019-08-02 15:00","2019","08","02","15:00","24.9","","17.2","","63","","19","","21","","","","100.78","","30","","","","NA"
"2019-08-02 16:00","2019","08","02","16:00","25.0","","15.8","","57","","20","","21","","","","100.77","","29","","","","NA"
"2019-08-02 17:00","2019","08","02","17:00","25.1","","12.8","","47","","21","","16","","","","100.72","","28","","","","NA"
"2019-08-02 18:00","2019","08","02","18:00","24.7","","13.5","","50","","19","","8","","","","100.70","","28","","","","NA"
"2019-08-02 19:00","2019","08","02","19:00","23.4","","12.5","","50","","23","","6","","","","100.65","","26","","","","NA"
"2019-08-02 20:00","2019","08","02","20:00","22.3","","14.0","","59","","24","","7","","","","100.68","","26","","","","NA"
"2019-08-02 21:00","2019","08","02","21:00","18.5","","13.0","","70","","33","","3","","","","100.70","","","","","","NA"
"2019-08-02 22:00","2019","08","02","22:00","18.4","","13.8","","74","","21","","4","","","","100.71","","","","","","NA"
"2019-08-02 23:00","2019","08","02","23:00","19.6","","12.5","","64","","25","","8","","","","100.70","","","","","","NA"
"2019-08-03 00:00","2019","08","03","00:00","16.3","","14.5","","89","","29","","6","","","","100.63","","","","","","NA"
"2019-08-03 01:00","2019","08","03","01:00","14.9","","11.7","","81","","33","","10","","","","100.58","","","","","","NA"
"2019-08-03 02:00","2019","08","03","02:00","14.0","","13.2","","95","","34","","9","","","","100.58","","","","","","NA"
"2019-08-03 03:00","2019","08","03","03:00","16.7","","9.8","","64","","24","","6","","","","100.54","","","","","","NA"
"2019-08-03 04:00","2019","08","03","04:00","14.8","","11.0","","78","","21","","5","","","","100.55","","","","","","NA"
"2019-08-03 05:00","2019","08","03","05:00","14.4","","13.6","","95","","30","","2","","","","100.58","","","","","","NA"
"2019-08-03 06:00","2019","08","03","06:00","14.4","","14.4","","100","","30","","5","","","","100.60","","","","","","NA"
"2019-08-03 07:00","2019","08","03","07:00","18.9","","14.0","","73","","20","","1","","","","100.61","","","","","","NA"
"2019-08-03 08:00","2019","08","03","08:00","20.8","","14.2","","66","","22","","7","","","","100.57","","","","","","NA"
"2019-08-03 09:00","2019","08","03","09:00","23.1","","13.9","","56","","23","","7","","","","100.55","","26","","","","NA"
"2019-08-03 10:00","2019","08","03","10:00","24.5","","13.7","","51","","20","","13","","","","100.50","","28","","","","NA"
"2019-08-03 11:00","2019","08","03","11:00","24.4","","15.4","","57","","18","","20","","","","100.45","","29","","","","NA"
"2019-08-03 12:00","2019","08","03","12:00","25.1","","15.2","","54","","18","","24","","","","100.41","","29","","","","NA"
"2019-08-03 13:00","2019","08","03","13:00","25.3","","16.2","","57","","19","","27","","","","100.35","","30","","","","NA"
"2019-08-03 14:00","2019","08","03","14:00","25.7","","17.2","","59","","19","","28","","","","100.27","","31","","","","NA"
"2019-08-03 15:00","2019","08","03","15:00","26.8","","17.8","","58","","20","","24","","","","100.20","","33","","","","NA"
"2019-08-03 16:00","2019","08","03","16:00","27.0","","18.4","","59","","20","","22","","","","100.18","","33","","","","NA"
"2019-08-03 17:00","2019","08","03","17:00","20.3","","20.3","","100","","35","","13","","","","100.27","","28","","","","NA"
"2019-08-03 18:00","2019","08","03","18:00","20.9","","20.8","","100","","33","","18","","","","100.28","","29","","","","NA"
"2019-08-03 19:00","2019","08","03","19:00","20.8","","20.8","","100","","0","","1","","","","100.25","","29","","","","NA"
"2019-08-03 20:00","2019","08","03","20:00","20.4","","20.4","","100","","31","","3","","","","100.29","","28","","","","NA"
"2019-08-03 21:00","2019","08","03","21:00","20.0","","20.0","","100","","31","","4","","","","100.33","","28","","","","NA"
"2019-08-03 22:00","2019","08","03","22:00","20.0","","20.0","","100","","32","","5","","","","100.32","","28","","","","NA"
"2019-08-03 23:00","2019","08","03","23:00","20.5","","20.5","","100","","33","","13","","","","100.32","","28","","","","NA"
"2019-08-04 00:00","2019","08","04","00:00","19.9","","19.9","","100","","33","","9","","","","100.33","","","","","","NA"
"2019-08-04 01:00","2019","08","04","01:00","20.0","","19.4","","96","","36","","14","","","","100.34","","27","","","","NA"
"2019-08-04 02:00","2019","08","04","02:00","19.1","","15.2","","78","","1","","16","","","","100.36","","","","","","NA"
"2019-08-04 03:00","2019","08","04","03:00","18.3","","12.6","","69","","1","","15","","","","100.40","","","","","","NA"
"2019-08-04 04:00","2019","08","04","04:00","17.6","","11.4","","67","","36","","10","","","","100.40","","","","","","NA"
"2019-08-04 05:00","2019","08","04","05:00","17.4","","10.9","","65","","1","","13","","","","100.41","","","","","","NA"
"2019-08-04 06:00","2019","08","04","06:00","17.1","","10.8","","67","","1","","15","","","","100.48","","","","","","NA"
