"Station Name","KINGSTON CLIMATE"
"Province","ONTARIO"
"Latitude","44.22"
"Longitude","-76.60"
"Elevation","93.00"
"Climate Identifier","6104142"
"WMO Identifier","71820"
"TC Identifier","TKG"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-01-01 00:00","2017","01","01","00:00","2.8","","1.2","","89","","22","","25","","","","99.23","","","","","","NA"
"2017-01-01 01:00","2017","01","01","01:00","2.1","","0.6","","90","","24","","16","","","","99.35","","","","","","NA"
"2017-01-01 02:00","2017","01","01","02:00","1.6","","-2.7","","73","","26","","33","","","","99.52","","","","","","NA"
"2017-01-01 03:00","2017","01","01","03:00","1.0","","-2.9","","75","","26","","25","","","","99.71","","","","","","NA"
"2017-01-01 04:00","2017","01","01","04:00","0.7","","-3.1","","76","","26","","25","","","","99.86","","","","","","NA"
"2017-01-01 05:00","2017","01","01","05:00","0.0","","-4.3","","73","","27","","25","","","","100.06","","","","-6","","NA"
"2017-01-01 06:00","2017","01","01","06:00","-0.8","","-5.3","","71","","26","","21","","","","100.23","","","","-6","","NA"
"2017-01-01 07:00","2017","01","01","07:00","-1.3","","-5.5","","73","","27","","18","","","","100.43","","","","-7","","NA"
"2017-01-01 08:00","2017","01","01","08:00","-1.6","","-5.7","","74","","27","","16","","","","100.62","","","","-7","","NA"
"2017-01-01 09:00","2017","01","01","09:00","-1.1","","-6.3","","68","","27","","12","","","","100.72","","","","-5","","NA"
"2017-01-01 10:00","2017","01","01","10:00","-0.4","","-5.5","","69","","26","","10","","","","100.87","","","","-4","","NA"
"2017-01-01 11:00","2017","01","01","11:00","-0.2","","-5.8","","66","","27","","10","","","","101.00","","","","-4","","NA"
"2017-01-01 12:00","2017","01","01","12:00","0.4","","-6.0","","62","","26","","6","","","","101.01","","","","","","NA"
"2017-01-01 13:00","2017","01","01","13:00","0.9","","-6.1","","59","","21","","7","","","","101.02","","","","","","NA"
