Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Stn Press (kPa),Month,Time
2019-07-31 08:00,21.4,17.4,78.0,30.0,11.0,100.62,7,8.0
2019-07-31 09:00,22.8,16.5,67.0,26.0,6.0,100.65,7,9.0
2019-07-31 10:00,23.5,17.0,67.0,22.0,18.0,100.66,7,10.0
2019-07-31 11:00,24.8,15.8,57.0,23.0,19.0,100.65,7,11.0
2019-07-31 12:00,25.9,15.3,52.0,22.0,21.0,100.64,7,12.0
2019-07-31 13:00,26.0,15.9,54.0,19.0,20.0,100.6,7,13.0
2019-07-31 14:00,26.2,15.4,51.0,18.0,20.0,100.57,7,14.0
2019-07-31 15:00,25.9,17.4,59.0,19.0,22.0,100.54,7,15.0
2019-07-31 16:00,25.9,16.6,57.0,21.0,16.0,100.5,7,16.0
2019-07-31 17:00,24.9,18.2,66.0,22.0,13.0,100.48,7,17.0
2019-07-31 18:00,26.6,15.6,51.0,28.0,4.0,100.52,7,18.0
2019-07-31 19:00,24.5,16.5,61.0,28.0,11.0,100.58,7,19.0
2019-07-31 20:00,23.1,16.8,67.0,28.0,8.0,100.61,7,20.0
2019-07-31 21:00,21.9,18.1,79.0,33.0,11.0,100.67,7,21.0
2019-07-31 22:00,22.1,14.3,61.0,2.0,11.0,100.69,7,22.0
2019-07-31 23:00,21.3,12.8,58.0,1.0,10.0,100.72,7,23.0
2019-08-01 00:00,20.0,11.7,59.0,1.0,12.0,100.73,8,0.0
2019-08-01 01:00,18.8,11.2,61.0,1.0,11.0,100.77,8,1.0
2019-08-01 02:00,18.4,11.1,62.0,1.0,11.0,100.82,8,2.0
2019-08-01 03:00,17.3,11.2,67.0,1.0,11.0,100.86,8,3.0
2019-08-01 04:00,14.7,12.6,87.0,36.0,10.0,100.88,8,4.0
2019-08-01 05:00,14.3,12.8,91.0,34.0,11.0,100.92,8,5.0
2019-08-01 06:00,15.8,13.0,83.0,35.0,11.0,100.95,8,6.0
2019-08-01 07:00,19.3,11.8,62.0,36.0,10.0,100.99,8,7.0
2019-08-01 08:00,21.7,10.7,50.0,2.0,10.0,101.03,8,8.0
2019-08-01 09:00,23.7,9.3,40.0,5.0,15.0,101.03,8,9.0
2019-08-01 10:00,24.7,8.7,36.0,6.0,12.0,101.06,8,10.0
2019-08-01 11:00,25.4,7.5,32.0,4.0,9.0,101.05,8,11.0
2019-08-01 12:00,24.9,9.5,38.0,18.0,11.0,101.05,8,12.0
2019-08-01 13:00,25.7,9.5,36.0,15.0,14.0,101.03,8,13.0
2019-08-01 14:00,24.9,10.0,39.0,19.0,21.0,101.0,8,14.0
2019-08-01 15:00,25.0,11.0,41.0,19.0,17.0,100.96,8,15.0
2019-08-01 16:00,25.2,11.2,42.0,19.0,13.0,100.91,8,16.0
2019-08-01 17:00,25.1,11.4,42.0,20.0,13.0,100.88,8,17.0
2019-08-01 18:00,24.3,12.3,47.0,22.0,10.0,100.87,8,18.0
2019-08-01 19:00,22.8,12.6,52.0,23.0,7.0,100.88,8,19.0
2019-08-01 20:00,21.8,12.6,56.0,23.0,7.0,100.89,8,20.0
2019-08-01 21:00,21.0,14.7,67.0,25.0,7.0,100.92,8,21.0
2019-08-01 22:00,17.5,14.5,82.0,26.0,4.0,100.94,8,22.0
2019-08-01 23:00,17.0,15.3,89.0,32.0,6.0,100.96,8,23.0
2019-08-02 00:00,14.4,14.4,100.0,33.0,8.0,100.96,8,0.0
2019-08-02 01:00,13.6,13.4,99.0,33.0,8.0,100.95,8,1.0
2019-08-02 02:00,14.3,14.2,99.0,33.0,5.0,100.95,8,2.0
2019-08-02 03:00,13.7,13.7,100.0,33.0,7.0,100.95,8,3.0
2019-08-02 04:00,13.2,13.2,100.0,7.0,5.0,100.96,8,4.0
2019-08-02 05:00,12.3,12.3,100.0,35.0,5.0,100.99,8,5.0
2019-08-02 06:00,13.9,13.9,100.0,34.0,7.0,101.0,8,6.0
2019-08-02 07:00,18.8,17.1,90.0,33.0,4.0,101.0,8,7.0
2019-08-02 08:00,21.9,14.5,63.0,27.0,4.0,101.01,8,8.0
2019-08-02 09:00,23.4,14.7,58.0,22.0,8.0,101.02,8,9.0
2019-08-02 10:00,23.8,14.9,58.0,18.0,10.0,101.02,8,10.0
2019-08-02 11:00,24.6,15.7,57.0,17.0,13.0,100.96,8,11.0
2019-08-02 12:00,24.6,16.4,60.0,17.0,19.0,100.92,8,12.0
2019-08-02 13:00,24.8,16.2,59.0,17.0,19.0,100.87,8,13.0
2019-08-02 14:00,25.5,16.6,58.0,19.0,18.0,100.83,8,14.0
2019-08-02 15:00,24.9,17.2,63.0,19.0,21.0,100.78,8,15.0
2019-08-02 16:00,25.0,15.8,57.0,20.0,21.0,100.77,8,16.0
2019-08-02 17:00,25.1,12.8,47.0,21.0,16.0,100.72,8,17.0
2019-08-02 18:00,24.7,13.5,50.0,19.0,8.0,100.7,8,18.0
2019-08-02 19:00,23.4,12.5,50.0,23.0,6.0,100.65,8,19.0
2019-08-02 20:00,22.3,14.0,59.0,24.0,7.0,100.68,8,20.0
2019-08-02 21:00,18.5,13.0,70.0,33.0,3.0,100.7,8,21.0
2019-08-02 22:00,18.4,13.8,74.0,21.0,4.0,100.71,8,22.0
2019-08-02 23:00,19.6,12.5,64.0,25.0,8.0,100.7,8,23.0
