MD,CALI,DEN_QI_EDIT,DT_QI_EDIT,GR,RT,IGR,VSH,porosity
7033.5,14.27199,2.170978,116.3571,41.05352,39.90955,0.118488601,0.029473963,0.315217544
7034,13.98766,2.179786,117.1096,35.30373,48.56773,0.089604357,0.021443258,0.310066667
7034.5,14.21601,2.179786,117.7552,33.59444,68.78249,0.081017687,0.019168374,0.310066667
7035,14.44362,2.179786,115.5082,38.47546,76.89465,0.105537638,0.025799543,0.310066667
7035.5,14.37395,2.162169,116.6085,36.24869,75.14775,0.094351392,0.022722569,0.320369006
7036,14.21091,2.162169,117.0066,36.05445,71.79595,0.093375621,0.022458329,0.320369006
7036.5,14.11323,2.162169,117.5094,38.6447,66.0193,0.106387821,0.02603703,0.320369006
7037,13.98247,2.162169,118.4539,37.75048,62.29097,0.101895679,0.024788051,0.320369006
7037.5,13.81957,2.162169,117.8982,38.07715,55.73253,0.103536716,0.025242652,0.320369006
7038,13.91701,2.162169,117.9521,34.04985,43.48639,0.083305453,0.019769589,0.320369006
7038.5,13.75793,2.162169,118.2003,40.45668,30.11581,0.115490357,0.028612419,0.320369006
7039,13.92123,2.162169,117.9537,42.60421,22.01031,0.126278539,0.031743612,0.320369006
7039.5,13.95384,2.162169,119.7067,41.63418,18.2093,0.121405564,0.030318533,0.320369006
7040,14.08616,2.153361,119.7937,55.08275,15.11797,0.188964861,0.051756347,0.325519883
7040.5,14.4704,2.153361,119.1911,71.66138,13.02724,0.27224811,0.083844167,0.325519883
7041,13.78094,2.153361,118.6854,90.99994,12.61488,0.369395951,0.131050063,0.325519883
7041.5,13.35839,2.153361,115.9587,94.03232,11.88775,0.384629203,0.139578045,0.325519883
7042,12.8737,2.153361,117.1184,94.4801,11.29702,0.38687864,0.14086581,0.325519883
7042.5,12.81155,2.144553,118.0591,92.03758,14.14468,0.374608567,0.133930805,0.33067076
7043,12.78671,2.144553,117.9951,80.31932,19.03911,0.315741533,0.103532487,0.33067076
7043.5,14.17385,2.144553,117.4301,51.97349,30.08546,0.1733454,0.046464919,0.33067076
7044,15.79631,2.144553,114.3705,35.23372,43.33005,0.089252659,0.021349095,0.33067076
7044.5,16.36237,2.144553,113.1885,30.27487,46.06952,0.064341727,0.014890966,0.33067076
7045,15.44629,2.153361,113.5952,30.22061,50.68949,0.06406915,0.014822558,0.325519883
7045.5,15.45137,2.170978,112.9058,30.62197,61.53215,0.066085394,0.015329704,0.315217544
7046,15.71098,2.179786,114.4205,30.14015,70.36714,0.063664957,0.014721207,0.310066667
7046.5,15.67714,2.179786,114.5236,32.42062,74.59715,0.075120967,0.017634907,0.310066667
7047,15.4168,2.179786,115.9711,30.89954,75.66816,0.067479775,0.015681969,0.310066667
7047.5,15.38611,2.179786,116.8062,29.83005,77.29347,0.06210716,0.01433157,0.310066667
7048,15.61365,2.179786,116.3475,30.80262,78.49304,0.066992895,0.015558824,0.310066667
7048.5,15.38576,2.179786,116.4866,29.41901,79.83068,0.060042288,0.013817497,0.310066667
7049,15.51632,2.179786,115.3745,27.92731,82.10254,0.052548688,0.011974584,0.310066667
7049.5,15.51782,2.179786,113.8905,28.26443,83.4493,0.054242221,0.012387985,0.310066667
7050,15.90966,2.206211,115.0121,29.81634,83.14046,0.062038287,0.01431438,0.29461345
7050.5,16.00291,2.206211,115.1887,31.18055,79.98362,0.068891437,0.016039886,0.29461345
7051,15.61627,2.201807,111.7058,24.18998,74.44084,0.033774098,0.007509893,0.297188889
7051.5,15.84553,2.197402,112.6118,29.16053,63.12377,0.058743806,0.013495617,0.299764912
7052,16.10625,2.19153,112.9223,30.2782,47.4674,0.064358455,0.014895166,0.30319883
7052.5,16.33133,2.185658,115.6013,32.36464,37.85932,0.074839749,0.017562353,0.306632749
7053,16.19449,2.179786,114.5475,33.62986,33.99083,0.08119562,0.019215008,0.310066667
7053.5,15.90453,2.179786,111.7924,33.64674,33.62925,0.081280417,0.019237239,0.310066667
7054,16.32924,2.179786,109.1,38.83021,34.17723,0.107319736,0.026297944,0.310066667
7054.5,15.48261,2.188594,113.3,39.72886,30.83592,0.111834131,0.02757073,0.304915789
7055,14.37549,2.188594,116,43.94729,34.07104,0.133025542,0.033746374,0.304915789
7055.5,14.30966,2.206211,108.6795,64.4048,40.0675,0.235794461,0.068952746,0.29461345
7056,13.04028,2.206211,108.6795,60.53547,44.93422,0.216356765,0.061563493,0.29461345
7056.5,13.30217,2.192998,108.6795,40.01974,65.96521,0.113295376,0.027985879,0.302340351
7057,14.96319,2.179786,108.6795,35.91787,75.68314,0.092689508,0.022272924,0.310066667
7057.5,16.5257,2.175382,108.6795,34.95419,76.15618,0.087848432,0.020973973,0.312642105
7058,16.00378,2.170978,108.6795,29.48369,79.86276,0.06036721,0.01389821,0.315217544
7058.5,16.23206,2.179786,113.3033,27.66121,96.33224,0.051211927,0.011649538,0.310066667
