2019-04-19 08:06:56,"West Covina, California",224,224,Woooow I really want that Samsung Galaxy Fold it’s so niceee,"[[[-117.927041, 34.068114], [-117.836898, 34.068114], [-117.836898, 34.106972], [-117.927041, 34.106972]]]","Covina, CA",United States,US,city

2019-04-19 07:52:21,"Dublin, Ireland",900,834,@TheNewGirlNH I had the first Huawei phone and it was the best camera ever! My sister has the P10 and it also has t… https://t.co/WOpc06AylU,"[[[-6.5468143, 53.178753], [-6.252228, 53.178753], [-6.252228, 53.3682523], [-6.5468143, 53.3682523]]]","South Dublin, Ireland",Ireland,IE,city

2019-04-19 07:45:40,bangalore,103,914,"@Samsung_IN Thank you for the amazing contest @Samsung_IN 
Wish to Win. #UnboxMagicEveryday","[[[76.648499, 16.190512], [76.673823, 16.190512], [76.673823, 16.20626], [76.648499, 16.20626]]]","Hatti, India",India,IN,city

2019-04-19 07:43:21,New Delhi,45,112,"@SamsungPay @RBI , Today i see reward point in Samsung Pay against any transaction i am not sure when i called supp… https://t.co/M2T4bhGBWL","[[[76.84252, 28.397657], [77.347652, 28.397657], [77.347652, 28.879322], [76.84252, 28.879322]]]","New Delhi, India",India,IN,city

2019-04-19 07:32:58,"Ikeja, Nigeria",464,685,"FULL PRICE LIST FOR UK USED IPHONE &amp; SAMSUNG 
iPhone 5s 16gb.................35k
iPhone 6  16......................… https://t.co/7dSWnoxdVv","[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]","Ikeja, Nigeria",Nigeria,NG,city

2019-04-19 07:26:54,clouds,284,471,The reviews are in and Samsung Fold is apparently breaking/malfunctioning already.,"[[[126.0411357, 7.2724743], [126.3127449, 7.2724743], [126.3127449, 7.4354024], [126.0411357, 7.4354024]]]","Maragusan, Davao Region",Republic of the Philippines,PH,city

2019-04-19 07:24:04,"Sant Antoni de Portmany, Spain",1498,555,@_MzlivieBaby_ No my Samsung S10+ lasts so long and I refuse to update my iPhone iOS 😂,"[[[-2.454026, 53.4163477], [-2.245107, 53.4163477], [-2.245107, 53.5342592], [-2.454026, 53.5342592]]]","Salford, England",United Kingdom,GB,city

2019-04-19 07:22:34,Seychelles ,171,197,"@SuperSaf Incomplete project,Samsung should just go back and have a rethink","[[[50.719634, -9.5437546], [56.2947885, -9.5437546], [56.2947885, -3.7122978], [50.719634, -3.7122978]]]",Seychelles,Seychelles,SC,country

2019-04-19 07:20:52,"Port Elizabeth, South Africa",460,691,"These Samsung  screen repair cost are out of this world , might as well buy a good phone for the same price of a mere screen","[[[25.406293, -34.0504982], [25.7043392, -34.0504982], [25.7043392, -33.7646257], [25.406293, -33.7646257]]]","Port Elizabeth, South Africa",South Africa,ZA,city

2019-04-19 07:10:54,"Chino Hills, CA",330,739,The Samsung Galaxy Fold is such a beaut 😍✨,"[[[123.9086254, 10.2035208], [124.0725263, 10.2035208], [124.0725263, 10.3342405], [123.9086254, 10.3342405]]]","Lapu-Lapu City, Central Visayas",Republic of the Philippines,PH,city

2019-04-19 07:08:28,I have a girlfriend thanks 🙏,7023,801,Samsung inaccuracy tho. Is why their product is always dropping https://t.co/hxo0cpjCes,"[[[3.2131467, 6.4278856], [3.4640641, 6.4278856], [3.4640641, 6.5583389], [3.2131467, 6.5583389]]]","Lagos, Nigeria",Nigeria,NG,city

2019-04-19 07:07:43,"Lagos, Nigeria",1678,4601,"@TheIfunanya The Samsung has higher work rate than iPhone. In terms of graphics designs Samsung comes first , as so… https://t.co/Nw0zaM2Zzc","[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]","Ikeja, Nigeria",Nigeria,NG,city

2019-04-19 07:07:34,Lagos; southwest Nigeria ,2139,2305,"@trending_medic Naa the real crises were the company losses, the devices were not selling. The try to reinvent merg… https://t.co/9SJFN06dZv","[[[3.198942, 6.4826762], [3.43719, 6.4826762], [3.43719, 6.6985461], [3.198942, 6.6985461]]]","Ikeja, Nigeria",Nigeria,NG,city

2019-04-19 07:05:02,"Sulya, India",0,0,"SAMSUNG GALAXY J8 Mobile Back Cover
Material: Plastic

Size: Exact Fit to Mobile 

Description: It Has 1 Piece Of S… https://t.co/xhyIGWXXr7","[[[74.050963, 11.582378], [78.588295, 11.582378], [78.588295, 18.476736], [74.050963, 18.476736]]]","Karnataka, India",India,IN,admin

